address_street,city,state,county,violation_type,violation_subtype,status,date_opened,latitude,longitude
77 MORADO DR,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Intake - New Case,2026-05-06T00:00:00.000,39.1139177853603,-84.6058247879429
2312 FLORA ST,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Litter,  private property",Intake - New Case,2026-05-06T00:00:00.000,39.1255580593941,-84.5243791809286
2933 SIDNEY AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Closed - No Violation,2026-05-06T00:00:00.000,39.1358271154349,-84.5353316185516
968 MANSION AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Litter,  private property",New,2026-05-06T00:00:00.000,39.1096429164216,-84.5660848488653
4698 WINTON RD,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Intake - New Case,2026-05-06T00:00:00.000,39.1750931291799,-84.5192187114213
4114 CHAMBERS ST,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Tall grass/weeds, private prop",New,2026-05-06T00:00:00.000,39.160323358852,-84.5336774513431
1975 HONEYSUCKLE LN,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,RES CODE STANDARD,Intake - New Case,2026-05-06T00:00:00.000,39.090267134112,-84.381689933579
4971 HEUWERTH AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Litter,  private property",New,2026-05-06T00:00:00.000,39.1223745732805,-84.6054892139232
2968 DECKEBACH AV,Cincinnati,OH,Hamilton,Abandoned Vehicle Code Enforcement,JUNK VEH ON PRIVATE PROP,Closed - No Violation,2026-05-06T00:00:00.000,39.1354632354681,-84.5291428630762
3798 HILLSIDE AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Tall grass/weeds, private prop",New,2026-05-06T00:00:00.000,39.0786803004466,-84.5999817079571
19 BLUE ROCK ST,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Citation Issued,2026-05-06T00:00:00.000,39.160753095618,-84.5448478655667
1553 DONALDSON PL,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Tall grass/weeds, private prop",New,2026-05-06T00:00:00.000,39.1662702419248,-84.539092038697
4176 CHAMBERS ST,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Tall grass/weeds, private prop",New,2026-05-06T00:00:00.000,39.1627421797336,-84.533874438612
3992 FAWNHILL LN,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Tall grass/weeds, private prop",New,2026-05-06T00:00:00.000,39.1241183756037,-84.5781066535753
255 ST PETERS ST,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Intake - New Case,2026-05-06T00:00:00.000,39.1207038731751,-84.4498139644243
38 FOLSOM AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Tall grass/weeds, private prop",New,2026-05-06T00:00:00.000,39.1223085460024,-84.5762656111515
7 RALPH AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Tall grass/weeds, private prop",New,2026-05-06T00:00:00.000,39.1201795045379,-84.6047712453863
2326 FLORA ST,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Litter,  private property",Intake - New Case,2026-05-06T00:00:00.000,39.1260509472574,-84.5243052222805
55 CHANDLER ST,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Intake - New Case,2026-05-06T00:00:00.000,39.1640957966678,-84.3971281840661
8 YORK ST,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Litter,  private property",New,2026-05-06T00:00:00.000,39.1174990480665,-84.52821913704
7745 READING RD,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Citation Issued,2026-05-06T00:00:00.000,39.2039539002299,-84.4554180400483
3 WARNER ST,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Litter,  private property",Intake - New Case,2026-05-06T00:00:00.000,39.1251983702064,-84.5242172145295
5399 KIRBY AV,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,RES CODE STANDARD,Closed,2026-05-06T00:00:00.000,39.1910655066129,-84.5649501134294
3738 CLIFTON AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Intake - New Case,2026-05-06T00:00:00.000,39.1510354983183,-84.5179421664543
5659 BRAMBLE AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Citation Issued,2026-05-06T00:00:00.000,39.151856298471,-84.3982686702841
16 ELMORE ST,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Litter,  private property",New,2026-05-06T00:00:00.000,39.1559781002854,-84.5416789012959
31 GOBEL AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Litter,  private property",New,2026-05-06T00:00:00.000,39.1460216384601,-84.5811207022596
26 LEHMAN RD,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,RES CODE STANDARD,Intake - New Case,2026-05-06T00:00:00.000,39.116563809317,-84.5512415043302
3471 HILLSIDE AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Tall grass/weeds, private prop",New,2026-05-06T00:00:00.000,39.083703572345,-84.5867551161168
3578 EPWORTH AV,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,RES CODE STANDARD,Intake - New Case,2026-05-06T00:00:00.000,39.1542994510198,-84.5989356540599
657 SEDAM ST,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Tall grass/weeds, private prop",New,2026-05-06T00:00:00.000,39.0902076612821,-84.5703422012467
1847 FORBUS ST,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,RES CODE STANDARD,Intake - New Case,2026-05-06T00:00:00.000,39.1251341535928,-84.5613639745267
277 FAIRBANKS AV,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,RES CODE STANDARD,Intake - New Case,2026-05-06T00:00:00.000,39.0925598068689,-84.5747251224372
13 FAIRPARK AV,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,TREE ON PRIV PROP STANDARD,Intake - New Case,2026-05-06T00:00:00.000,39.1943895427704,-84.4822285023724
8 LEXINGTON AV,Cincinnati,OH,Hamilton,Code Enforcement - Barricading Buildings,BARRICADE RESIDENTIAL,Notice of Intent Issued to Owner,2026-05-06T00:00:00.000,39.1462212822625,-84.4878888430206
833 YORK ST,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Citation Issued,2026-05-06T00:00:00.000,39.1170463751951,-84.5281919809111
3796 HILLSIDE AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Tall grass/weeds, private prop",New,2026-05-06T00:00:00.000,39.0787735006837,-84.5998400215942
422 DAYTON ST,Cincinnati,OH,Hamilton,Code Enforcement - Demolitions,EMERGENCY HAZARD ABATEMENT,Received by Hazard Abatement,2026-05-06T00:00:00.000,39.1183449831714,-84.5247603197015
1536 BETH LN,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Closed - Duplicate Complaint,2026-05-06T00:00:00.000,39.0825365047337,-84.3929772169876
1512 MIRAMAR CT,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,RES CODE STANDARD,Intake - New Case,2026-05-06T00:00:00.000,39.2015105415809,-84.4610645023776
15 HARRISON AV,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,"Recycling, remove cart vacant",Intake - New Case,2026-05-06T00:00:00.000,39.1274696621153,-84.5540313547655
3346 RIVER RD,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Litter,  private property",Intake - New Case,2026-05-06T00:00:00.000,39.085145545791,-84.5818644106462
1717 HARRISON AV,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,"Recycling, remove cart vacant",Intake - New Case,2026-05-06T00:00:00.000,39.1274425153719,-84.5544783637971
32 HILLSIDE AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Tall grass/weeds, private prop",New,2026-05-06T00:00:00.000,39.0786259113171,-84.6002549252841
4922 PLAINVILLE RD,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,RES CODE STANDARD,Intake - New Case,2026-05-06T00:00:00.000,39.1586803104305,-84.3811050777798
194 FAIRBANKS AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Tall grass/weeds, private prop",New,2026-05-06T00:00:00.000,39.0908343117245,-84.5715447659157
2888 MARSHALL AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Citation Issued,2026-05-06T00:00:00.000,39.1333532445549,-84.5273047309468
17 GELLENBECK ST,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Tall grass/weeds, private prop",New,2026-05-06T00:00:00.000,39.1207377421506,-84.5803936472851
1647 BEACON ST,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,TREE ON PRIV PROP STANDARD,Intake - New Case,2026-05-06T00:00:00.000,39.0835607496387,-84.3821977079762
745 WILBUD DR,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Litter,  private property",Intake - New Case,2026-05-06T00:00:00.000,39.1059290440904,-84.5921484721548
3 KLOTTER AV,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,RES CODE STANDARD,Intake - New Case,2026-05-05T00:00:00.000,39.1224955853976,-84.5247105861811
7653 CASTLETON PL,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Closed - Duplicate Complaint,2026-05-05T00:00:00.000,39.2008295564822,-84.4631703124231
2518 ADDISON ST,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Closed - Transferred to another Agency,2026-05-05T00:00:00.000,39.128016360206,-84.5328347932176
3413 PAXTON AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Trash, improper set out",Intake - New Case,2026-05-05T00:00:00.000,39.1374671115745,-84.4344135296219
37 GLENWAY AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Trash, improper set out",Refer to Sanitation,2026-05-05T00:00:00.000,39.1139060672784,-84.5734229170803
3719 LACLEDE AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Trash, empty cans left out",Refer to Sanitation,2026-05-05T00:00:00.000,39.1125964514192,-84.5735535235455
514 RIDGEWAY AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Litter,  private property",Intake - New Case,2026-05-05T00:00:00.000,39.1385354467475,-84.4975704301088
174 MONITOR AV,Cincinnati,OH,Hamilton,Zoning Code Enforcement - Residential Uses,CONCENTRATED CODE,Intake - New Case,2026-05-05T00:00:00.000,39.1136321326494,-84.6899920402554
43 VINE ST,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Cleaning,"Tall grass/weeds, private prop",New,2026-05-05T00:00:00.000,39.1623394225735,-84.5038454224423
36 WOODLAWN AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Litter,  private property",Intake - New Case,2026-05-05T00:00:00.000,39.1115715902989,-84.5668148189165
7712 GREENLAND PL,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Citation Issued,2026-05-05T00:00:00.000,39.2018552525795,-84.4598422768343
7881 READING RD,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Closed - No Violation,2026-05-05T00:00:00.000,39.2059977044666,-84.4527745964894
3584 ALASKA AV,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,RES CODE STANDARD,Intake - New Case,2026-05-05T00:00:00.000,39.1485109438723,-84.4986368808528
1841 SECTION RD,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Intake - New Case,2026-05-05T00:00:00.000,39.1969437460507,-84.4555158550075
2568 WESTWOOD NORTHERN BLVD,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Litter,  private property",Citation Issued,2026-05-05T00:00:00.000,39.1488290184776,-84.5835352239176
1661 SUMMIT RD,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Citation Issued,2026-05-05T00:00:00.000,39.2021693819622,-84.4568508241307
41 BEEKMAN ST,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Trash, improper set out",Closed - No Violation,2026-05-05T00:00:00.000,39.1390999835048,-84.548940193787
2178 SOHN ST,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,TREE ON PRIV PROP STANDARD,Intake - New Case,2026-05-05T00:00:00.000,39.1226469279895,-84.5246937890371
3434 WOODBURN AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Intake - New Case,2026-05-05T00:00:00.000,39.1412473322447,-84.47553901878
66 COLERIDGE AV,Cincinnati,OH,Hamilton,Trash/Litter/Tall Grass Complaint,"Tall grass/weeds, private prop",Citation Issued,2026-05-05T00:00:00.000,39.1842460577294,-84.4104532642723
2143 FREEMAN AV,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,RES CODE STANDARD,Intake - New Case,2026-05-05T00:00:00.000,39.1208086527044,-84.5311844610332
2812 OBSERVATORY AV,Cincinnati,OH,Hamilton,Zoning Code Enforcement - Residential Uses,CONCENTRATED CODE,Intake - New Case,2026-05-05T00:00:00.000,39.1374717765481,-84.438409070317
3384 ANACONDA DR,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,RES CODE STANDARD,Intake - New Case,2026-05-05T00:00:00.000,39.1524615840934,-84.5803731054377
1543 JONATHAN AV,Cincinnati,OH,Hamilton,Code Enforcement - Buildings with Residences,RES CODE STANDARD,Intake - New Case,2026-05-05T00:00:00.000,39.1426581862046,-84.4762275745817
